"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "YAML", "JSON", "JavaScript", "Docker", "comment", "blank", "total"
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.eslintrc.json", "JSON with Comments", 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.github/FUNDING.yml", "YAML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.github/pull_request_template.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.github/workflows/workflow.yml", "YAML", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.prettierrc.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.yarn/plugins/yarn-up-all-plugin.cjs", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/.yarn/releases/yarn-3.1.0.cjs", "JavaScript", 0, 0, 0, 0, 0, 540, 0, 186, 43, 769
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/package.json", "JSON", 0, 0, 0, 0, 59, 0, 0, 0, 1, 60
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/app.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 8, 5, 55
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/conversation/addCategory.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 1, 16, 89
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/conversation/addItems.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 2, 34, 160
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/conversation/refund.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 1, 14, 64
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/action.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 1, 5, 36
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/actions/Category.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/actions/Refund.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 1, 12, 60
